agency,bureau,initial_domain,reason
Department of Energy,Brookhaven National Laboratory,auth.sdcc.bnl.gov,Filter
Department of Energy,Brookhaven National Laboratory,romanpot-logbook.phy.bnl.gov,Status Code
Department of Energy,Brookhaven National Laboratory,www4.rcf.bnl.gov,Filter
Department of Energy,Fermi National Accelerator Laboratory,ed.fnal.gov,Redirect
Department of Energy,Fermi National Accelerator Laboratory,pingprod.fnal.gov,Status Code
Department of Energy,Fermi National Accelerator Laboratory,saturdaymorningphysics.fnal.gov,Redirect
Department of Energy,Fermi National Accelerator Laboratory,sustainability.fnal.gov,Status Code
Department of Energy,Fermi National Accelerator Laboratory,www-bdnew.fnal.gov,Filter
Department of Energy,Fermi National Accelerator Laboratory,www-sdss.fnal.gov,Filter
Department of Energy,Fermi National Accelerator Laboratory,www-star.fnal.gov,Filter
Department of Energy,Fermi National Accelerator Laboratory,www-stken.fnal.gov,Filter
Department of Energy,Idaho National Laboratory,busoperations.inl.gov,Redirect
Department of Energy,Idaho National Laboratory,hpc.inl.gov,Redirect
Department of Energy,Idaho National Laboratory,inldigitallibrary.inl.gov,Redirect
Department of Energy,Idaho National Laboratory,lersearch.inl.gov,Status Code
Department of Energy,Idaho National Laboratory,poena.inl.gov,Redirect
Department of Energy,Idaho National Laboratory,procurement.inl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,allaccess.lbl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,ccwgsmartcities.lbl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,ctp.lbl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,energy.lbl.gov,Redirect; Status Code
Department of Energy,Lawrence Berkeley National Laboratory,energystorage.lbl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,eta.lbl.gov,Status Code
Department of Energy,Lawrence Berkeley National Laboratory,facades.lbl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,gsworkplace.lbl.gov,Status Code
Department of Energy,Lawrence Berkeley National Laboratory,hes.lbl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,hespro.lbl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,homeenergysaver.lbl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,ibt.lbl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,microgrids2.lbl.gov,Status Code
Department of Energy,Lawrence Berkeley National Laboratory,ndcxii.lbl.gov,Status Code
Department of Energy,Lawrence Berkeley National Laboratory,wpc.lbl.gov,Redirect
Department of Energy,Lawrence Berkeley National Laboratory,www-ccd.lbl.gov,Filter
Department of Energy,Lawrence Berkeley National Laboratory,www-cdf.lbl.gov,Filter
Department of Energy,Lawrence Berkeley National Laboratory,www-eng.lbl.gov,Filter
Department of Energy,Lawrence Berkeley National Laboratory,www-ibt.lbl.gov,Filter
Department of Energy,Lawrence Berkeley National Laboratory,www-nsd.lbl.gov,Filter
Department of Energy,Lawrence Berkeley National Laboratory,www-scs.lbl.gov,Filter
Department of Energy,Lawrence Berkeley National Laboratory,www-theory.lbl.gov,Filter
Department of Energy,Los Alamos National Laboratory,about.lanl.gov,Redirect
Department of Energy,Los Alamos National Laboratory,business.lanl.gov,Redirect
Department of Energy,Los Alamos National Laboratory,collab.lanl.gov,Redirect
Department of Energy,Los Alamos National Laboratory,csr.lanl.gov,Redirect
Department of Energy,Los Alamos National Laboratory,discover.lanl.gov,Redirect
Department of Energy,Los Alamos National Laboratory,ftp-f5.lanl.gov,Filter
Department of Energy,Los Alamos National Laboratory,marfa.lanl.gov,Status Code
Department of Energy,Los Alamos National Laboratory,organizations.lanl.gov,Redirect
Department of Energy,Los Alamos National Laboratory,www-green.lanl.gov,Filter
Department of Energy,Los Alamos National Laboratory,www-xdiv.lanl.gov,Filter
Department of Energy,Oak Ridge National Laboratory,epa-visl.ornl.gov,Status Code
Department of Energy,Oak Ridge National Laboratory,extidp.ornl.gov,Status Code
Department of Energy,Oak Ridge National Laboratory,fsnutown.phy.ornl.gov,Redirect
Department of Energy,Oak Ridge National Laboratory,ftp.phy.ornl.gov,Filter
Department of Energy,Oak Ridge National Laboratory,householder.ornl.gov,Status Code
Department of Energy,Oak Ridge National Laboratory,idp.ornl.gov,Filter
Department of Energy,Oak Ridge National Laboratory,mnc-qa.ornl.gov,Filter
Department of Energy,Oak Ridge National Laboratory,neuromorphic.ornl.gov,Status Code
Department of Energy,Oak Ridge National Laboratory,ngee.ornl.gov,Redirect
Department of Energy,Oak Ridge National Laboratory,phyxweb.phy.ornl.gov,Redirect
Department of Energy,Oak Ridge National Laboratory,rsicc.ornl.gov,Redirect
Department of Energy,Oak Ridge National Laboratory,sso.ccs.ornl.gov,Filter; Status Code
Department of Energy,Oak Ridge National Laboratory,sst.ornl.gov,Redirect
Department of Energy,Oak Ridge National Laboratory,tarp-qa.ornl.gov,Filter
Department of Energy,Oak Ridge National Laboratory,tes-qa.science.ornl.gov,Filter
Department of Energy,Oak Ridge National Laboratory,vlt-qa.ornl.gov,Filter
Department of Energy,Oak Ridge National Laboratory,web-qa.ornl.gov,Filter; Redirect
Department of Energy,Oak Ridge National Laboratory,wri-fot-qa.ornl.gov,Filter
Department of Energy,Oak Ridge National Laboratory,www-qa.visac.ornl.gov,Filter
Department of Energy,Office of Electricity Delivery and Energy Reliability,smartgrid.gov,Redirect
Department of Energy,ORAU,dmzqlik.orau.gov,Redirect
Department of Energy,Pacific Northwest National Laboratory,adfs.pnnl.gov,Filter; Status Code
Department of Energy,Pacific Northwest National Laboratory,bc2m2.pnnl.gov,Redirect
Department of Energy,Pacific Northwest National Laboratory,buildingsystems.pnnl.gov,Redirect
Department of Energy,Pacific Northwest National Laboratory,climate.pnnl.gov,Redirect
Department of Energy,Pacific Northwest National Laboratory,computerlectures.pnnl.gov,Redirect
Department of Energy,Pacific Northwest National Laboratory,controls.pnnl.gov,Redirect
Department of Energy,Pacific Northwest National Laboratory,cra.pnnl.gov,Redirect
Department of Energy,Pacific Northwest National Laboratory,drupal.pnnl.gov,Status Code
Department of Energy,Pacific Northwest National Laboratory,eaccounts.pnnl.gov,Filter; Redirect
Department of Energy,Pacific Northwest National Laboratory,esc2m2.pnnl.gov,Redirect
Department of Energy,Pacific Northwest National Laboratory,ors.pnnl.gov,Status Code
Department of Energy,Pacific Northwest National Laboratory,pal.pnnl.gov,Redirect
Department of Energy,Pacific Northwest National Laboratory,panomics.pnnl.gov,Redirect
Department of Energy,Princeton Plasma Physics Lab,clouds.pppl.gov,Redirect
Department of Energy,Princeton Plasma Physics Lab,weather.pppl.gov,Status Code
Department of Energy,Sandia National Laboratories,sso.sandia.gov,Filter; Status Code
Department of Energy,Southwestern Power Administration,swpa.gov,Redirect
Department of Energy,"US Department of Energy, Office of the CIO",app-template.jgi.doe.gov,Filter; Status Code
Department of Energy,"US Department of Energy, Office of the CIO",climatemodeling.science.energy.gov,Redirect
Department of Energy,"US Department of Energy, Office of the CIO",emcbc.doe.gov,Redirect
Department of Energy,"US Department of Energy, Office of the CIO",etec.energy.gov,Redirect
Department of Energy,"US Department of Energy, Office of the CIO",heatingoil.fossil.energy.gov,Status Code
Department of Energy,"US Department of Energy, Office of the CIO",thescmcgroup.energy.gov,Redirect
Department of Energy,"US Department of Energy, Office of the CIO",www4.eere.energy.gov,Filter
Department of Energy,"US Department of Energy, Office of the CIO",www5.eere.energy.gov,Filter
Department of Energy,"US Department of Energy, Office of the CIO",www6.eere.energy.gov,Filter
Department of Energy,"US Department of Energy, Office of the CIO",www7.eere.energy.gov,Filter
Department of Energy,Western Area Power Administration,portal.wapa.gov,Redirect
Department of Energy,Western Area Power Administration,stportal.wapa.gov,Redirect
Department of Health and Human Services,Administration for Community Living,eldercare.gov,Redirect
Department of Health and Human Services,Administration for Community Living,fs1.acl.gov,Status Code
Department of Health and Human Services,Administration for Community Living,ma.acl.gov,Status Code
Department of Health and Human Services,Agency for Healthcare Research and Quality,accounts.ahrq.gov,Filter
Department of Health and Human Services,Agency for Healthcare Research and Quality,cma.ahrq.gov,Redirect
Department of Health and Human Services,Agency for Healthcare Research and Quality,ecareplan.ahrq.gov,Redirect
Department of Health and Human Services,Agency for Healthcare Research and Quality,extranet.ahrq.gov,Filter; Redirect
Department of Health and Human Services,Agency for Healthcare Research and Quality,info.ahrq.gov,Redirect
Department of Health and Human Services,Agency for Healthcare Research and Quality,survey.ahrq.gov,Redirect
Department of Health and Human Services,"Assistant Secretary for Financial Resources, Office of the Secretary",stagingws.grants.gov,Redirect
Department of Health and Human Services,"Assistant Secretary for Financial Resources, Office of the Secretary",trainingws.grants.gov,Redirect
Department of Health and Human Services,"Assistant Secretary for Financial Resources, Office of the Secretary",ws07.grants.gov,Redirect
Department of Health and Human Services,Centers for Disease Control and Prevention,artreporting.cdc.gov,Status Code
Department of Health and Human Services,Centers for Disease Control and Prevention,auth.cdc.gov,Filter
Department of Health and Human Services,Centers for Disease Control and Prevention,citgotest.cdc.gov,Status Code
Department of Health and Human Services,Centers for Disease Control and Prevention,dcipher.cdc.gov,Redirect
Department of Health and Human Services,Centers for Disease Control and Prevention,emergency.cdc.gov,Redirect
Department of Health and Human Services,Centers for Disease Control and Prevention,ftp.cdc.gov,Filter
Department of Health and Human Services,Centers for Disease Control and Prevention,harmreductionhelp.cdc.gov,Status Code
Department of Health and Human Services,Centers for Disease Control and Prevention,phinvads.cdc.gov,Status Code
Department of Health and Human Services,Centers for Disease Control and Prevention,predict.cdc.gov,Redirect; Status Code
Department of Health and Human Services,Centers for Disease Control and Prevention,sharefile-atl-zone1.cdc.gov,Status Code
Department of Health and Human Services,Centers for Disease Control and Prevention,vacunas.gov,Redirect
Department of Health and Human Services,Centers for Disease Control and Prevention,webdev.techlab.cdc.gov,Status Code
Department of Health and Human Services,Centers for Disease Control and Prevention,www2a.cdc.gov,Filter
Department of Health and Human Services,Centers for Disease Control and Prevention,www2c.cdc.gov,Filter
Department of Health and Human Services,Centers for Disease Control and Prevention,wwwn.cdc.gov,Filter
Department of Health and Human Services,Centers for Medicare and Medicaid Services,4innovation-impl.cms.gov,Filter
Department of Health and Human Services,Centers for Medicare and Medicaid Services,assets.cms.gov,Filter; Redirect
Department of Health and Human Services,Centers for Medicare and Medicaid Services,assets.healthcare.gov,Filter; Redirect
Department of Health and Human Services,Centers for Medicare and Medicaid Services,ayudalocal.cuidadodesalud.gov,Redirect
Department of Health and Human Services,Centers for Medicare and Medicaid Services,cms.gov,Filter
Department of Health and Human Services,Centers for Medicare and Medicaid Services,elmo.portaldev.cms.gov,Redirect; Status Code
Department of Health and Human Services,Centers for Medicare and Medicaid Services,eua.cms.gov,Redirect
Department of Health and Human Services,Centers for Medicare and Medicaid Services,euaval.cms.gov,Redirect
Department of Health and Human Services,Centers for Medicare and Medicaid Services,externalappeal.cms.gov,Redirect
Department of Health and Human Services,Centers for Medicare and Medicaid Services,localhelp.healthcare.gov,Redirect
Department of Health and Human Services,Centers for Medicare and Medicaid Services,sandbox.bluebutton.cms.gov,Filter
Department of Health and Human Services,Centers for Medicare and Medicaid Services,styleguide.healthcare.gov,Redirect
Department of Health and Human Services,Centers for Medicare and Medicaid Services,test.home.idm.cms.gov,Filter
Department of Health and Human Services,Centers for Medicare and Medicaid Services,wms-mmdl.cms.gov,Status Code
Department of Health and Human Services,"Enterprise Information Technology, NIH",david.ncifcrf.gov,Redirect
Department of Health and Human Services,Health Resources and Services Administration,bloodcell.transplant.hrsa.gov,Redirect
Department of Health and Human Services,Health Resources and Services Administration,findhivcare.hrsa.gov,Redirect
Department of Health and Human Services,"National Cancer Institute, NIH",applications.cpfp.cancer.gov,Redirect
Department of Health and Human Services,"National Cancer Institute, NIH",cmm.ccr.cancer.gov,Redirect
Department of Health and Human Services,"National Cancer Institute, NIH",cptr.ccr.cancer.gov,Redirect
Department of Health and Human Services,"National Cancer Institute, NIH",cssi.cancer.gov,Redirect
Department of Health and Human Services,"National Cancer Institute, NIH",idp.cancer.gov,Filter
Department of Health and Human Services,"National Cancer Institute, NIH",imat.cancer.gov,Redirect
Department of Health and Human Services,"National Cancer Institute, NIH",itcr.cancer.gov,Redirect
Department of Health and Human Services,"National Cancer Institute, NIH",ncihub.cancer.gov,Redirect
Department of Health and Human Services,"National Cancer Institute, NIH",portal.awg.gdc.cancer.gov,Status Code
Department of Health and Human Services,"National Cancer Institute, NIH",proteomicspreview-prod.cancer.gov,Status Code
Department of Health and Human Services,"National Cancer Institute, NIH",proteomicspreview.ha2.cancer.gov,Status Code
Department of Health and Human Services,"National Cancer Institute, NIH",provocativequestions.cancer.gov,Redirect
Department of Health and Human Services,"National Cancer Institute, NIH",rbstudy.cancer.gov,Redirect
Department of Health and Human Services,"National Cancer Institute, NIH",www-int-ac.cancer.gov,Filter
