Website,Agency,Bureau,Office,Description
opportunity.census.gov,Department of Commerce,Census,,The Opportunity Project website provides information to the public about The Opportunity Project and related activities.
portal.census.gov,Department of Commerce,Census,,Respondent Portal provides survey respondents a secure method to respond survey instruments and access self-service features in support of data collection
qwiexplorer.ces.census.gov,Department of Commerce,Census,,
respond.census.gov,Department of Commerce,Census,,"Internet Data Collection System (Centurion).  Public-facing hosting over 100 data collections (monthly, quarterly, and annually) enabling members of the public to securely submit responses online.   "
spd15revision.gov,Department of Commerce,Census,,"U.S. Office of Management and Budget's Statistical Policy Directive No. 15: Standards for Maintaining, Collecting, and Presenting Federal Data on Race and Ethnicity"
tigerweb.geo.census.gov,Department of Commerce,Census,,"TIGERweb provides web map services and applications from the Census Bureau's geographic database to geographic partners, local governments, federal agencies, and the general public."
usatrade.census.gov,Department of Commerce,Census,,"USA Trade Online (UTO) is a vital platform that ensures public access to timely, detailed data relevant to their specific interest in International Trade data."
www2.census.gov,Department of Commerce,Census,,"File transfer protocol (FTP) site for downloading of documents and digital assets available on census.gov, the U.S. Census Bureau's offical dissemination website."
xd.gov,Department of Commerce,Census,,"The xD website provides information to the public about projects, initiatives, and news from the xD team."
eda.gov,Department of Commerce,EDA,,"Providing information on grants, funding opportunities, strategic initiatives, and grantee resources for public stakeholders, and highlighting EDA’s impact across the country."
sfgrants.eda.gov,Department of Commerce,EDA,,"External stakeholder facing grants management portal. Provides visibility into EDA's funding opportunities, allows them to apply, engage with EDA staff and manage funded projects."
2014-2018.firstnet.gov,Department of Commerce,FirstNet,,Provides archived information to the public about the First Responder Network Authority's early efforts to establish a broadband network for public safety professionals
5x5.firstnet.gov,Department of Commerce,FirstNet,,"Highlights the Public Safety Innovation Summit, showcasing advancements in communication technology for first responders, researchers, industry, and government leaders"
firstnet.gov,Department of Commerce,FirstNet,,Offers resources on a nationwide broadband network for first responders to the general public and enhancing emergency communication for public safety professionals 
access.trade.gov,Department of Commerce,ITA,,This system is required for users to submit documents in AD/CVD proceedings and by the Courts in the form of a Court Record if administrative proceedings are litigated.
beta.trade.gov,Department of Commerce,ITA,,Critical search tool for the International Trade Community to find easy answers on upcoming AD/CVD deadlines and scope information on existing AD/CVD Orders.
dataprivacyframework.gov,Department of Commerce,ITA,,"Data Privacy Framework allows eligible U.S.-based organizations to self-certify compliance data privacy standards under EU-U.S. DPF, UK Extension to EU-U.S. DPF, and Swiss-U.S. DPF."
developer.trade.gov,Department of Commerce,ITA,,ITA's developer portal for providing open data to the public via API in JSON format.
enforcement.trade.gov,Department of Commerce,ITA,,Hosts legacy content related to AD/CVD work.
esel.trade.gov,Department of Commerce,ITA,,This is a statutorily mandated library of countervailing duty decisions made by ITA.
legacy.export.gov,Department of Commerce,ITA,,"Export.gov provided trusted market intelligence, practical advice and business tools to help U.S. companies expand in global markets."
legacy.trade.gov,Department of Commerce,ITA,,The relevant content that the site hosts includes two webpages on steel archival data.
ofis.trade.gov,Department of Commerce,ITA,,This is a portal for the importing public to submit applications to Foreign Trade Zones.
stopfakes.gov,Department of Commerce,ITA,,"STOPfakes, a 10-agency program, provides guidance to businesses for protecting their intellectual property rights. Its digital resources bolster its live roadshows and tradeshow appearances."
trade.gov,Department of Commerce,ITA,,"Provides business services and resources to ensure the U.S. competes globally, such as export tools and event registration, market research, trade barrier assistance, and inbound investment support."
wwtg.gov,Department of Commerce,ITA,,"The wwtg.gov site is an informational site for the World Wine Trade Group, an international government group to facilitate trade in wine and reduce barriers to trade."
mbda.gov,Department of Commerce,MBDA,,"Main site for bureau providing general information on business & financial resources, research and more."
abacus.nist.gov,Department of Commerce,NIST,,Web application that carries out experimental design and statistical analysis for chemical calibration studies. Intended audience is chemical scientists.
actev.nist.gov,Department of Commerce,NIST,,"evaluations to accelerate the development of robust, multi-camera, automatic activity detection algorithms for forensic and real-time alerting applications. performers in the evaluations"
acvts.nist.gov,Department of Commerce,NIST,,site to support the Automated Cryptographic Validation Program used to test algorithms implementations
adsorption.nist.gov,Department of Commerce,NIST,,"Provides access to databases and tools related to adsorption properties of gases and liquids on solid adsorbents. Used by Researchers, Academic Institutions, and public citizens."
ai-challenges.nist.gov,Department of Commerce,NIST,,Community evaluations to advance safe and trustworthy AI. Target Audience: Performers in the GenAI and Aria challeneges
airc.nist.gov,Department of Commerce,NIST,,Support and operationalize the NIST AI Risk Management Framework and accompanying playbook. Target Audience: General public/Industry interested in AI
ambench.nist.gov,Department of Commerce,NIST,,"Provides resources for the Additive Manufacturing Benchmark Test Series, a NIST initiative supporting the validation of computational models for aditive manufacturing.  "
ambench2022.nist.gov,Department of Commerce,NIST,,"Provides resources for the Additive Manufacturing Benchmark Test Series, a NIST initiative supporting the validation of computational models for aditive manufacturing."
ammd.nist.gov,Department of Commerce,NIST,,"….to nist.gov/programs-projects/data-management-and-fusion-am-industrialization.  This site is in indefinite maintenance mode. When online, the site provides a searchable database of materials used in additive manufacturing for the public and industry collaborators."
aphl.nist.gov,Department of Commerce,NIST,,API providing access to code sets managed by APHL used by (but not limited to) the healthcare IT vendor community
askchips.chips.gov,Department of Commerce,NIST,,Prodcution instance used to submit engagment requests
baldrigeresources.nist.gov,Department of Commerce,NIST,,"Blank page with nothing but title ""NIST Web Site"" and legal language (""You are accessing a U.S. Government information system …..."").  Baldrige offers a wide array of educational and assessment products/services to help organizations improve their performance."
bbddata.nist.gov,Department of Commerce,NIST,,"Site is a gateway to the contents of BBD webpage using the NISP patented NLP and search capabilities. Used by Researchers, Academic Institutions, and public citizens."
boudicca.nist.gov,Department of Commerce,NIST,,Computer Forensics Tools & Techniques Catalog
boulder.doc.gov,Department of Commerce,NIST,,Boulder's external site status page
calnet.nist.gov,Department of Commerce,NIST,,"Provides calibration services through readily available integrated circuit artifacts and a modern platform that offers customers real-time access to protocols, software, and data. "
cccbdb.nist.gov,Department of Commerce,NIST,,"The Computational Chemistry Comparison and Benchmark DataBase, SRD 101, provides a comprehensive collection of experimental and computational data for a selected set of gas-phase atoms and molecules"
cda-validation.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
cdcs.registry.nist.gov,Department of Commerce,NIST,,"""Bad gateway"""
cfreds.nist.gov,Department of Commerce,NIST,,digitial foresnics data sets
cfreds-archive.nist.gov,Department of Commerce,NIST,,digital forensic reference data sets archived version; law enforcement investigators
chemdata.nist.gov,Department of Commerce,NIST,,Provides peptide mass spectral libraries.  These libraries are comprehnsive ref. collections designed to assist labs using mass spectrometry in proteomics research. 
circular.nist.gov,Department of Commerce,NIST,,"Tool for finding data and information resources related to enabling the US Circular Economy (CE). Used by scientists and Researchers, Academic Institutions, and public citizens."
code.nist.gov,Department of Commerce,NIST,,Research software - open source code catalog and metrics for USNISTGOV Github organization
concrete.nist.gov,Department of Commerce,NIST,,…to list of links on landing page.  This site provides links and redirection services for content that was relocated to comply with agency data management policy.
consensus.nist.gov,Department of Commerce,NIST,,Web application that performs different statistical methods for evaluating consensus estimates of interlaboratory studies. Intended audience is metrologists and scientists.
covid19-data.nist.gov,Department of Commerce,NIST,,puropse of the covid19 repository was to provide a curated version of a publically available covid19 research literature corpus for the purposes of analytics.
csrc.nist.gov,Department of Commerce,NIST,,collection of security resources and projects provided to the general public all in 1 centralized location
cstl.nist.gov,Department of Commerce,NIST,,A tool for processing automated particle analysis data sets
data.nist.gov,Department of Commerce,NIST,,"Research data public distribution service endpoint.   It requires for use additional parameters such as dataset id,  will not resolve in this base URL form"
decisiontree.nist.gov,Department of Commerce,NIST,,Web application that proposes and performs various statistical methods for evaluating concensus estimates of interlaboratory studies. Intended audience is metrologists and scientists.
dlmf.nist.gov,Department of Commerce,NIST,,defunct
duc.nist.gov,Department of Commerce,NIST,,DUC was an AI evaluation workshop for question answering and document summarization technology
e3.nist.gov,Department of Commerce,NIST,,"E3 is a REST API that provides life-cycle cost analysis, benefit-cost analysis, and risk-cost analysis used by NIST and other developers to implement end-user tools"
ecc.nist.gov,Department of Commerce,NIST,,This website is designed to assist the user in rapidly locating the relevant or desired metal-centered energy conversion complexes
edges.nist.gov,Department of Commerce,NIST,,The EDGe$ Tool supports community resilience planning by helping officials evaluate & compare the costs and benefits of investments to enhance recovery from disruptive events using standard methods.
emtoolbox.nist.gov,Department of Commerce,NIST,,"Offers computational tools for solving challenges in dimensional measurement. One tool calculates index of refraction of air, and other computes elastic compression of spheres and cylinders."
events.nist.gov,Department of Commerce,NIST,,Event registration portal for NIST-sponsored events
firedoc.nist.gov,Department of Commerce,NIST,,"FireDoc is NIST's online database of fire research. It offers reports/articles/papers on fire science, safety, and engineering for researchers, firefighters, and fire safety/prevention professionals."
fits.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
gams.nist.gov,Department of Commerce,NIST,,mathematical and statistical software components for use in computational science and engineering;  
gashydrates.nist.gov,Department of Commerce,NIST,,The gashydrates.nist.gov site is very important to the TRC consortium and ACMD stakeholders.
ghgr.nist.gov,Department of Commerce,NIST,,"The Greenhouse Gas Data Registry (GHGR) facilitates the registration of greenhouse gas resources, connecting data resources with end-users"
hit-dev.nist.gov,Department of Commerce,NIST,,public server that supports SSD healthcare testing tools
hit-nexus.nist.gov,Department of Commerce,NIST,,"Nexus software repository manager where we host our software builds and dependencies (e.g. war and jar files), used by (but not limited to) the healthcare IT vendor community"
hl7v2-elr-testing.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
hl7v2-gvt.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
hl7v2-igamt.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
hl7v2-igamt-2.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
hl7v2-iz-cdc-testing.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
hl7v2-iz-r1-5-testing.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
hl7v2-lab-r2-testing.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
hl7v2-lab-testing.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
hl7v2-ss-r2-testing.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
hl7v2tools.nist.gov,Department of Commerce,NIST,,Provides a menu of our validation / conformance testing tools with links to the tools along with descriptions and supporting information used by (but not limited to) the healthcare IT vendor community
ibal.nist.gov,Department of Commerce,NIST,,"The IBAL database supports research on intelligent building systems by providing high-frequency data from ~300 sensors and 850 points, with dashboards for plotting and downloading experiment data."
icsd.nist.gov,Department of Commerce,NIST,,NIST Inorganic Crystal Structure Database (ICSD) website is to give researchers a user-friendly interface to search a comprehensive collection of crystal structure data of inorganic compounds
ihe-pcd.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
ihexds.nist.gov,Department of Commerce,NIST,,"Info concerning NIST-developed tooling (GitHub hosted) for health IT document sharing used by (but not limited to) the H-IT vendors, ONC/ASTP certification, IHE Connectathons, H-IT system developers."
ilthermo.boulder.nist.gov,Department of Commerce,NIST,,"ILThermo is a free, web-based database developed by NIST to provide comprehensive, up-to-date experimental data on ionic liquids"
ir.nist.gov,Department of Commerce,NIST,,"Blank page with nothing but title ""Warning Warning Warning"" and legal language (""You are accessing a U.S. Government information system …...""). Data annotation tools and large dataset access"
isg.nist.gov,Department of Commerce,NIST,,"""Under maintenance …check back later"".  The web pages provide interactive GoogleMaps-like access to very large collections of scientific images."
its90.nist.gov,Department of Commerce,NIST,,"The ITS-90 database provides info. on the Intl Temperature Scale of 1990 (ITS-90), including fixed temperature points, secondary reference temperature points, uncertainties, and references"
janaf.nist.gov,Department of Commerce,NIST,,"The NIST-JANAF Thermochemical Tables website contains thermochemical data for more than 1,700 chemical compounds"
jarvis.nist.gov,Department of Commerce,NIST,,"JARVIS is to automate the discovery and optimization of materials using classical force-field, density functional theory, machine learning, quantum computation calculations, and experiment"
kinetics.nist.gov,Department of Commerce,NIST,,The NIST Chemical Kinetics Database. You can explore reaction rate data for various chemical processes using this resource.
lre.nist.gov,Department of Commerce,NIST,,Unreachable
maldi.nist.gov,Department of Commerce,NIST,,The NDRL/NIST Solution Kinetics Database contains data on rate constants for solution-phase chemical reactions.
manufacturing.gov,Department of Commerce,NIST,,"Primary hub for federal manufacturing programs, funding opportunities, topic-focused pages & announcements relating to US manufacturing to help US manufacturers."
materials.registry.nist.gov,Department of Commerce,NIST,,"Used to register materials resources, connecting data resources with end-users.It serves as a central service to make registered information available for research to the materials science community."
math.nist.gov,Department of Commerce,NIST,,mathematical and statistical projects for use in computational science and engineering;  
mdcs.nist.gov,Department of Commerce,NIST,,purpose of the mdcs repository is to always provide a publicly available demo server providing the very latest release and features accessible to the public. 
meis.nist.gov,Department of Commerce,NIST,,"Manages Program & Center performance utilizing a centralized platform for data collection providing the MEP, stakeholders, and manufacturers benefit from insights & improved decision-making."
mfc.nist.gov,Department of Commerce,NIST,,Open Media Forensics Challenge is a media forensics evaluation to facilitate development of systems that can automatically detect and locate manipulations in imagery OpenMFC performers
mgi.gov,Department of Commerce,NIST,,"The Materials Genome Initiative is a federal multi-agency initiative for discovering, manufacturing, and deploying advanced materials. "
nccoe.nist.gov,Department of Commerce,NIST,,NCCOE website of projects
ncp.nist.gov,Department of Commerce,NIST,,collection of security checklists and benchmarks provided to the general public
nehrp.gov,Department of Commerce,NIST,,Provides information about the National Earthquake Hazards Reduction Program to stakeholders and the public
nehrpsearch.nist.gov,Department of Commerce,NIST,,"The NEHRP Clearinghouse is a NIST-managed database with earthquake engineering resources (research/codes/reports/standards) for structural engineers, architects, code officials, and researchers."
nemo.nist.gov,Department of Commerce,NIST,,"External-Used to manage the daily operations of the CNSTNanoFab, which includes tracking equipment usage, managing equipment reservations, and communicating minor and serious equipment problems.  "
nestr.nist.gov,Department of Commerce,NIST,,NEST-R (NIST Educational STEM Resource Registry) is a catalog of STEM educational resources from the National Institute of Standards and Technology (NIST)
nextg.nist.gov,Department of Commerce,NIST,,"The site for the NextG Channel Model Alliance, allows for sharing and curating large cellular datasets within the working group with a focus of 5G and mmWave."
nigos.nist.gov,Department of Commerce,NIST,,Research and evaluation data is provided to biometrics community. Data requires agreement to terms and conditions of use.  Mission critical: Serves data files necessary for our evaluations.
nist.gov,Department of Commerce,NIST,,Main NIST Drupal site
nlte.nist.gov,Department of Commerce,NIST,,Provides NIST Non-Local Thermodynamic Equilibrium Plasma Kinetics Modeling Database. This database contains benchmark results for simulation of plasma population kinetics and emission spectra
nvd.nist.gov,Department of Commerce,NIST,,collection of vulnerability data provided to the general public and vulnerability management vendors 
nvlpubs.nist.gov,Department of Commerce,NIST,,"…to various links off landing page. Hosts versions of record of NIST/NBS publications. All Digital Object Identifiers (DOIs) point to these versions. Audience is scientific researchers, cybersecurity experts, and lay-people."
openfad.nist.gov,Department of Commerce,NIST,,evaluation to measure how well systems can automatically classify or temporally detect fine-grained activities collected from Consented Activities of People using handheld devices. openfad performers
p-act.nist.gov,Department of Commerce,NIST,,Tool for comparing HL7 v2 profiles which a provides dynamic summary report of the comparison analysis used by (but not limited to) the healthcare IT vendor community
pages.nist.gov,Department of Commerce,NIST,,This service provides web publishing of static content hosted in a specific branch of a NIST GitHub repository. Pages automatically and immediately update when a commit is pushed to that branch.
pah.nist.gov,Department of Commerce,NIST,,"The NIST PAH database allows you to search for Polycyclic Aromatic Hydrocarbons (PAHs) and obtain information regarding their identifiers, links, estimated properties, and thermochemistry"
phasedata.nist.gov,Department of Commerce,NIST,,"Currently resolving a ""Bad gateway"" error at the host.  The NIST Materials Data Curation System provides access to phase-based data essential for various applications, including the development of CALPHAD-based multicomponent databases."
potentials.nist.gov,Department of Commerce,NIST,,"Currently resolving a ""Bad gateway"" error at the host.  The Interatomic Potentials Repository API is a system developed at NIST for curating Material Data in a repository using predefined templates"
pv2.nist.gov,Department of Commerce,NIST,,[PV]² allows homeowners to determine a complete cost of ownership for residential rooftop solar photovoltaic systems including purchase and operation through the system’s service life.
pvdata.nist.gov,Department of Commerce,NIST,,"Pvdata offers public access to NIST photovoltaic and weather data, with one-minute averages (2015-2018), sky/array images hourly, and interactive tools for exploration and bulk download."
randr.nist.gov,Department of Commerce,NIST,,"Enzyme Thermodynamic Database a specialized scientific resource maintained by the NIST. Its primary purposes are: Storing Thermodynamic Data, Chemical Equilibrium Analysis, and Research Support"
randr19.nist.gov,Department of Commerce,NIST,,"provides access to COVID-19 resources and tools, including frequency graphs, co-phrase graphs, and term trends related to the CORD-19 dataset."
rdaf.nist.gov,Department of Commerce,NIST,,"The NIST Research Data Framework (RDaF) is a comprehensive, customizable tool designed to help organizations and individuals manage research data effectively"
reductus.nist.gov,Department of Commerce,NIST,,NCNR data reduction online site
rpki-monitor.antd.nist.gov,Department of Commerce,NIST,,The NIST RPKI monitor is a test and measurement tool designed to monitor the dynamics of the global RPKI and the impact of RPKI-ROV on Internet routing.
rtmms.nist.gov,Department of Commerce,NIST,,"Tool to enable management of standardized medical device terminology to improve interoperability between devices and systems, used by (but not limited to) the healthcare IT vendor community"
sat.nist.gov,Department of Commerce,NIST,,"Brings together researchers to address speech analytic challenges in difficult acoustic conditions for improving through objective, large-scale common evaluations."
shop.nist.gov,Department of Commerce,NIST,,"The NIST Store is an online shopping experience where customers can order NIST products and services including calibration services, Standard Reference Data products, and Standard Reference Materials."
sibr.nist.gov,Department of Commerce,NIST,,SIBR database provides information on standards that have been incorporated by reference into the US Code of Federal Regulations (CFR)
sitexpress.nist.gov,Department of Commerce,NIST,,"Calculates metrics for investment analysis documented in NIST Advanced manufacturing Series 200-5. It calculates net present value, internal rate of return, and payback period."
smstestbed.nist.gov,Department of Commerce,NIST,,Provides real-time data from the equipment in the Smart Manufacturing Systems Test Bed
srdata.nist.gov,Department of Commerce,NIST,,The NIST Standard Reference Data website gives you access to a variety of scientific and technical data
sre.nist.gov,Department of Commerce,NIST,,NIST Speaker Recognition Evaluation series is to contribute to the direction of research efforts and the calibration of technical capabilities of text independent speaker recognition. SRE performers
strbase.nist.gov,Department of Commerce,NIST,,"STRBase is a specialized database for forensic DNA analysis, focusing on Short Tandem Repeat (STR) markers. "
survey.nist.gov,Department of Commerce,NIST,,Allows the public to respond to NIST surveys.
tac.nist.gov,Department of Commerce,NIST,,"TAC is the successor to DUC and is an AI evaluation workshop focused on NLP, information extraction, summarization, QA."
tcamt.nist.gov,Department of Commerce,NIST,,"Validation / conformance test tooling for health IT data, used by (but not limited to) the healthcare IT vendor community, ONC/ASTP certification, CDC, health IT system developers."
time.gov,Department of Commerce,NIST,,US Official Time
toolcatalog.nist.gov,Department of Commerce,NIST,,searchable catalog of forensic tools and techniques
trc.nist.gov,Department of Commerce,NIST,,NIST Combustion Calorimetry Tool standardizes the complex process of determining enthalpies of formation for organic compounds. 
trec.nist.gov,Department of Commerce,NIST,,"TREC is an AI evaluation workshop focused on search, filtering, generation, and other technologies for information understanding."
trecvid.nist.gov,Department of Commerce,NIST,,"Proceedings and data for the TRECVID evaluations of multimedia search, 2001-present. TRECVID is an evaluation workshop for video search and understanding"
tsapps.nist.gov,Department of Commerce,NIST,,A compendium of publicly available biometric datasets
uncertainty.nist.gov,Department of Commerce,NIST,,Software application that carries out uncertainty propogation as outlined in the Guide to Uncertainty of Measurement. Intended audience is metrologists and scientists.
usgv6-deploymon.nist.gov,Department of Commerce,NIST,,NIST developed the USGv6 monitor to estimate answers to measurement questions about the extent and quality of IPv6 and DNSSEC deployment in the USG and Internet as a whole.
visiblecement.nist.gov,Department of Commerce,NIST,,"algorithms for processing visible cement datasets, audience- building infrastructure community"
vmsshare.nist.gov,Department of Commerce,NIST,,"This is a mass spectrometry data mining and repository website. The purpose of it is to effectively visualize raw MS data, display corresponding metadata and share experimental results."
vocab.nist.gov,Department of Commerce,NIST,,FHIR adapter API providing access to CDC's PHIN VADS vocabulary system used by (but not limited to) the healthcare IT vendor community
webbook.nist.gov,Department of Commerce,NIST,,"The NIST Chemistry WebBook offers a vast collection of chemical and physical property data for over 7,000 organic and small inorganic compounds."
wipp-plugins.nist.gov,Department of Commerce,NIST,,The web pages are designed to disseminate metadata about interoperable scientific software packaged in Docker containers.
ws680.nist.gov,Department of Commerce,NIST,,"Building for Environmental and Economic Sustainability is a tool to select cost-effective, environmentally-preferable building products"
wtt-lite.nist.gov,Department of Commerce,NIST,,This web application provides access to a collection of critically evaluated thermodynamic property data for pure compounds with a primary focus on organics
wtt-pro.nist.gov,Department of Commerce,NIST,,This web application provides access to a collection of critically evaluated thermodynamic property data for pure compounds with a primary focus on organics
www-nlpir.nist.gov,Department of Commerce,NIST,,"This site hosts a number of pages linked from the DUC, TAC, and TRECVID websites, and we have kept the URL to avoid broken links."
zeno.nist.gov,Department of Commerce,NIST,,"The ZENO software tool computes material, solution, and suspension properties for a specified particle shape or molecular structure using path-integral and Monte Carlo methods."
adios.orr.noaa.gov,Department of Commerce,NOAA,,"A database tool of 1,000+ petroleum products and their characteristics, used to support oil spill response. The data can be downloaded for use with NOAA’s or other oil spill weathering models."
adp.noaa.gov,Department of Commerce,NOAA,,"Mandated by the America COMPETES Reauthorization Act, this site provides access to “educational activities related to understanding ocean sciences” for communication and engagement with classrooms. "
airquality.weather.gov,Department of Commerce,NOAA,,"Provides computer-generated, hourly forecasts for various air quality variables to inform health-related decisions by the public."
alaskafisheries.noaa.gov,Department of Commerce,NOAA,,"Used for commercial fishing transactions, permitting, fee payments, transfers, monitoring, reporting, and data dissemination in support of the Alaska Region's fisheries management programs.  "
alerts.weather.gov,Department of Commerce,NOAA,,A GUI interface that assits users in generating NWS alerts as distributed by the NWS API (api.weather.gov)
alerts-v2.weather.gov,Department of Commerce,NOAA,,
alpha.ngs.noaa.gov,Department of Commerce,NOAA,,"Provides public access to precise geodetic data for mapping, surveying, and infrastructure for the modernized National Spatial Reference System that will save costs for agency and industry."
amdar.ncep.noaa.gov,Department of Commerce,NOAA,,
amdar.noaa.gov,Department of Commerce,NOAA,,"Resolves with ""Bad Request"".  America COMPETES Act SEC 4002(a) and other mandates specify that NOAA “shall enhance public awareness and understanding of ocean and atmospheric science.” OAR websites are the primary tool for this."
americansamoa.noaa.gov,Department of Commerce,NOAA,,"Mandated by the National Marine Sanctuaries Act to enhance public awareness, understanding and appreciation of the marine environment, this site provides vital information for the tax paying public."
aocground.omao.noaa.gov,Department of Commerce,NOAA,,Provides means for land-based personel to submit TAG and TDR data to NWS removing the burden from scientists on the aircraft during the flight
aoml.noaa.gov,Department of Commerce,NOAA,,America COMPETES Act SEC 4002(a) and other mandates specify that NOAA “shall enhance public awareness and understanding of ocean and atmospheric science.” OAR websites are the primary tool for this. 
app.coastalscience.noaa.gov,Department of Commerce,NOAA,,These data archives provide trend data for making recreational and fisheries management decisions as they relate to seafood safety and security – supplemental data to NCCOS operational models
apps.arl.noaa.gov,Department of Commerce,NOAA,,"Provides HYSPLIT-based applications and analysis for volcano ash, wild fire, Urban Net, locust migration, etc. used by public health and other organizations.
"
apps.nmfs.noaa.gov,Department of Commerce,NOAA,,"The APPS system allows the public to submit, track, and query permit applications and reports online for permits and authorizations required under the ESA and MMPA. It is used by NMFS and ODFW."
apps.nssl.noaa.gov,Department of Commerce,NOAA,,Hosts a number of one-off science applications for lab and research partner use. These individual applications are key to the lab’s efforts in most all major projects.
apps-afsc.fisheries.noaa.gov,Department of Commerce,NOAA,,The primary purpose is to support transactional applications required under regulations for the North Pacific Observer Program
